STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform
3180.0,CURTORIM LAKE,LAKE,GOA,26.0,38.0,1.5,11.0,5.0,7.3,78.0,594.0,0.9,10.4,0.0,1.48,130.0,7900.0,230.0,13000.0
1343.0,"KANKORIA LAKE AT 
AHMEDABAD, NR. BALVATIKA, 
GUJARAT",LAKE,GUJARAT,25.0,39.0,4.2,11.6,8.4,9.1,2308.0,3479.0,30.0,87.0,0.19,0.41,9.0,48.0,48.0,540.0
1344.0,"CHANDOLA LAKE AT 
AHMEDABAD, GUJARAT",LAKE,GUJARAT,25.0,30.0,2.6,8.1,7.5,8.8,349.0,543.0,5.0,31.0,0.09,0.51,5.0,94.0,58.0,540.0
1345.0,"AJWAH LAKE AT SRI SAYAJI 
SABVAR, BARODA, GUJARAT",LAKE,GUJARAT,22.0,30.0,7.6,8.9,7.2,8.5,223.0,350.0,0.2,0.9,0.04,0.9,2.0,4.0,4.0,21.0
1346.0,"SURSAGAR LAKE AT BARODA, 
GUJARAT",LAKE,GUJARAT,25.0,32.0,1.6,5.5,6.7,8.0,2630.0,3720.0,0.8,2.5,0.08,1.1,4.0,26.0,11.0,63.0
1972.0,"NALSAROVAR LAKE (SANAND), 
DIST.AHMEDABAD",LAKE,GUJARAT,26.0,30.0,5.0,9.3,7.7,9.4,298.0,26580.0,5.0,105.0,0.1,0.39,5.0,40.0,21.0,110.0
1973.0,"BINDUSAROVAR, SIDDHPUR 
(DIST.PATAN)",LAKE,GUJARAT,21.0,38.0,3.4,9.0,7.3,8.3,146.0,2991.0,4.1,540.0,0.03,6.48,4.0,49.0,9.0,84.0
1975.0,"LAKHOTA TALAV, JAMNAGAR",LAKE,GUJARAT,22.0,29.0,4.1,7.2,6.6,8.8,420.0,860.0,4.1,10.8,0.01,0.38,2.0,9.0,2.0,24.0
1976.0,"NARSIMEHTA TALAV- 
JUNAGADH",LAKE,GUJARAT,22.0,26.0,3.8,36.0,6.7,8.0,360.0,1980.0,3.1,108.0,0.0,0.36,7.0,8.0,14.0,22.0
1977.0,CITY LAKE OF NADIAD,LAKE,GUJARAT,23.0,35.0,2.5,8.7,8.5,9.8,619.0,15521.0,1.9,87.0,0.24,8.2,4.0,26.0,21.0,63.0
1978.0,"RANJITNAGAR TALAV (HALOL), 
PANCHMAHALS",LAKE,GUJARAT,29.0,30.0,4.1,7.2,7.7,8.5,122.0,124.0,0.4,1.1,0.0,0.56,4.0,4.0,11.0,21.0
2075.0,"DHAROI DAM, DIST. 
MEHSANA.",LAKE,GUJARAT,26.0,31.0,5.2,9.2,7.5,8.3,226.0,450.0,1.5,2.7,0.04,0.08,2.0,7.0,2.0,33.0
2076.0,"ANKLESHWAR RESERVOIR AT 
GIDC ANKLESHWAR AT VALIA 
ROAD.",LAKE,GUJARAT,26.0,31.0,7.0,7.9,7.7,8.9,229.0,1770.0,1.0,1.2,0.06,0.27,8.0,23.0,26.0,49.0
2077.0,"MOTICHER LAKE NEAR 
KAKARPAR ATOMIC POWER 
STATION, DIST. SURAT.",LAKE,GUJARAT,27.0,33.0,6.1,7.4,7.3,8.2,300.0,476.0,1.0,1.9,0.0,0.92,12.0,79.0,38.0,120.0
